Campanha,Emails_Abertos,Emails_Clicados,Cupons_Usados,Curtidas,Comentarios,Cliques_Link_Compra,Reviews_Produtos
Aliquam,43,21,0,24,34,19,11
Velit,77,33,30,72,1,77,37
Beatae,40,35,9,104,21,70,36
Laborum,46,49,11,6,19,17,37
Est,1,28,15,34,35,21,45
Doloribus,70,37,7,35,30,31,26
Alias,82,8,29,148,50,12,34
Eum,39,32,1,83,2,62,28
Doloremque,55,19,12,24,46,1,26
Reprehenderit,5,9,19,176,10,94,10
Repellat,8,42,20,93,40,85,13
Nostrum,76,3,21,163,15,64,45
Sint,65,22,26,147,30,37,3
Eaque,84,34,13,71,39,89,17
Explicabo,47,12,8,113,8,98,35
Voluptatum,33,46,8,103,24,82,14
Commodi,57,11,6,87,37,9,37
Earum,66,47,25,48,25,71,43
Eius,57,49,14,184,4,0,6
Fuga,99,18,0,158,7,69,25
Quos,44,45,10,7,25,54,45
Possimus,17,47,5,178,37,66,32
Atque,79,18,17,149,9,23,6
Officia,33,24,25,46,48,34,47
Harum,11,34,3,115,30,98,30
Odit,28,22,19,9,12,55,13
Optio,88,44,9,25,40,1,29
Ducimus,76,23,21,16,19,77,5
Sit,13,42,10,106,11,70,34
Velit,3,15,9,172,7,72,47
Eos,5,46,7,20,4,91,21
Expedita,5,14,15,85,38,5,44
Accusamus,56,42,2,139,47,94,18
Error,76,26,24,174,44,49,49
Reiciendis,68,9,19,174,46,67,33
Tenetur,61,25,26,101,19,57,27
Asperiores,4,10,25,47,3,14,5
Iste,79,49,30,68,27,41,34
Sapiente,83,49,22,39,16,76,48
Est,42,2,9,14,50,16,8
Dolorem,92,28,20,185,36,85,23
Illo,93,49,22,55,24,21,50
Voluptatibus,95,49,15,127,20,15,16
Corrupti,13,25,0,156,9,55,22
Impedit,79,20,3,67,11,2,30
Dicta,8,29,8,200,7,41,10
Harum,65,6,27,13,7,86,16
Quidem,38,23,14,146,5,38,7
Deleniti,73,45,6,15,9,17,30
Officiis,2,21,16,84,31,50,48
Eos,52,22,22,188,35,98,27
Id,43,48,9,86,22,39,48
Vero,51,2,9,150,43,92,10
Odio,75,45,2,55,28,26,16
Distinctio,16,15,16,100,34,14,34
Magni,86,39,15,30,24,12,17
Ullam,8,9,19,111,31,31,25
Minima,24,50,26,88,36,97,2
Ratione,15,39,17,122,38,45,29
Magni,69,29,23,163,4,77,10
Quidem,58,27,0,95,0,3,23
Molestias,28,10,19,128,8,35,25
Modi,40,38,2,160,37,60,45
Ipsa,1,42,18,89,0,52,37
Voluptate,11,44,22,141,49,78,20
Dicta,79,41,17,134,35,72,8
Exercitationem,12,37,29,129,39,74,12
Assumenda,88,28,14,154,17,46,47
Eaque,55,3,22,140,6,27,25
Optio,21,20,14,52,16,29,40
Consequuntur,19,0,14,122,7,12,11
Inventore,54,15,30,5,31,23,32
Quasi,20,10,0,61,3,23,18
Corrupti,80,15,25,67,21,69,49
Molestias,98,22,21,136,5,53,38
Minima,8,34,23,170,39,50,45
Quisquam,15,9,25,94,17,33,15
Eius,70,11,18,178,45,47,39
Optio,23,25,8,14,25,62,35
Porro,80,47,28,6,26,75,6
Repellendus,97,48,19,10,21,60,40
Beatae,91,35,4,106,46,65,38
Magni,57,24,30,112,1,73,38
Non,48,25,1,185,13,88,18
Aliquam,19,40,12,181,26,6,25
Ut,29,10,30,198,12,13,4
Iste,86,36,21,28,21,26,36
Ex,19,43,22,50,28,9,43
Porro,2,23,26,9,4,79,25
Ex,86,36,6,127,11,84,13
Repudiandae,23,6,3,63,7,10,34
Eaque,5,13,0,3,1,20,35
Accusamus,9,43,14,16,35,38,14
Aut,5,26,1,175,42,100,30
Officia,88,34,9,41,47,100,29
Culpa,7,20,5,80,24,85,21
Quod,26,12,8,136,15,66,6
Corrupti,39,16,26,164,4,2,15
Esse,98,22,9,100,23,23,15
Tempora,42,38,14,91,6,78,33
