ID_Produto,Nome_Produto,Categoria,Preço_Unitario,Estoque_Disponivel
1,Non,Acessórios,1205.75,4111
2,Earum,Vestidos,1796.66,2670
3,Ratione,Calças,1551.08,3831
4,Accusamus,Calças,626.79,1295
5,Quod,Acessórios,2776.88,2943
6,Consequatur,Vestidos,1491.9,2767
7,Ipsam,Camisetas,729.95,3596
8,Architecto,Camisetas,2686.32,4501
9,Earum,Vestidos,2844.78,3316
10,Voluptas,Vestidos,201.82,1328
11,Sequi,Acessórios,1891.75,4327
12,Fuga,Camisetas,654.88,407
13,Eveniet,Camisetas,607.88,4896
14,Reiciendis,Camisetas,1559.56,4547
15,Unde,Acessórios,893.93,100
16,Cum,Vestidos,1596.79,3377
17,Esse,Vestidos,1871.0,366
18,Commodi,Acessórios,1989.89,206
19,Harum,Camisetas,2015.24,1153
20,Suscipit,Calças,179.06,4098
21,Sapiente,Acessórios,2377.06,2811
22,Natus,Vestidos,2384.83,4733
23,Blanditiis,Camisetas,2051.85,3622
24,Maiores,Vestidos,1147.06,4758
25,Commodi,Vestidos,1957.77,3739
26,Recusandae,Camisetas,411.76,4189
27,Consectetur,Camisetas,2296.87,3758
28,Voluptates,Acessórios,2265.15,2053
29,Nihil,Calças,444.64,3847
30,Unde,Vestidos,278.5,2470
31,Ut,Camisetas,299.79,3996
32,Necessitatibus,Calças,1627.7,1795
33,Tempore,Vestidos,2464.36,3411
34,Neque,Camisetas,2516.27,2573
35,Tempora,Camisetas,426.46,1300
36,Distinctio,Calças,803.35,225
37,Explicabo,Vestidos,967.46,942
38,Nihil,Vestidos,299.31,3422
39,Deleniti,Camisetas,2993.27,3126
40,Consectetur,Camisetas,2867.23,1704
41,Magni,Calças,946.34,2594
42,Occaecati,Calças,2971.71,3138
43,Placeat,Vestidos,103.5,1733
44,Recusandae,Camisetas,528.19,2605
45,Quae,Camisetas,2585.28,1085
46,Eaque,Vestidos,119.69,4490
47,Molestiae,Camisetas,1286.88,2770
48,Explicabo,Camisetas,1509.69,4512
49,At,Vestidos,2608.04,2542
50,Atque,Vestidos,2541.95,3023
51,Accusamus,Acessórios,2736.22,2545
52,Fugit,Vestidos,1410.23,506
53,Quis,Acessórios,1662.75,4853
54,Dolor,Camisetas,1985.66,601
55,Sunt,Acessórios,864.85,49
56,Fugit,Calças,2945.28,1965
57,Unde,Vestidos,1646.17,3293
58,Occaecati,Calças,2010.29,40
59,Autem,Acessórios,2041.28,2487
60,Necessitatibus,Camisetas,365.49,1822
61,Esse,Vestidos,227.21,4092
62,Iure,Calças,830.75,2696
63,Modi,Vestidos,1741.63,4764
64,Ipsa,Camisetas,302.59,3218
65,Nemo,Calças,1380.7,29
66,Mollitia,Calças,1618.9,3624
67,Aliquid,Acessórios,2149.98,4514
68,Culpa,Calças,344.52,203
69,Explicabo,Calças,2276.81,3168
70,At,Camisetas,862.44,3054
71,Quibusdam,Acessórios,1917.22,3033
72,Quae,Calças,1277.5,307
73,Provident,Vestidos,288.68,2401
74,Id,Vestidos,766.31,1510
75,Modi,Acessórios,1103.62,4405
76,Beatae,Calças,2968.87,1228
77,Repellendus,Acessórios,904.99,2191
78,Quidem,Calças,544.66,1254
79,Cupiditate,Vestidos,1314.44,4489
80,Possimus,Acessórios,1947.24,4035
81,In,Camisetas,1593.21,59
